,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,VisitFrequency,cluster,Gender,Age
276,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,Once a year,1,Male,47
277,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-4,Every three months,1,Male,20
278,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a week,0,Male,26
279,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,Once a year,1,Female,65
280,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-5,Never,1,Male,64
281,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5,Once a week,0,Male,20
282,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,2,Once a month,0,Female,29
283,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,2,Once a month,0,Female,45
284,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a year,0,Female,31
285,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,0,Female,41
286,No,No,No,Yes,No,Yes,No,No,Yes,No,No,-5,Never,1,Female,61
287,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,1,Female,69
288,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,1,Once a month,0,Male,28
289,No,Yes,No,No,No,Yes,No,No,No,No,No,3,Once a month,0,Male,68
290,No,No,No,Yes,No,Yes,Yes,No,No,No,No,-4,Never,1,Male,60
291,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,0,Once a year,0,Female,56
292,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,Once a year,0,Female,61
293,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,Once a week,0,Male,61
294,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,Once a year,1,Male,63
295,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,0,Female,40
296,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-1,Every three months,1,Male,36
297,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,1,Once a month,0,Female,30
298,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,Once a month,0,Female,32
299,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,5,More than once a week,0,Male,37
300,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,3,Once a week,0,Male,61
301,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a month,0,Female,34
302,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a month,0,Male,24
303,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,1,Once a month,0,Male,39
304,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,Every three months,0,Male,50
305,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,1,Once a month,0,Male,46
306,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,2,Once a month,0,Female,43
307,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,0,Male,36
308,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,-5,Once a week,1,Male,26
309,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,2,Once a month,0,Female,32
310,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-5,Never,1,Female,50
311,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,Once a year,1,Female,56
312,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Every three months,0,Female,57
313,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,Once a year,1,Male,25
314,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,Once a month,1,Female,47
315,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,Once a year,0,Male,32
316,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,Once a week,0,Female,32
317,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,Every three months,0,Female,57
318,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,0,Male,42
319,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,Once a week,0,Male,31
320,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-3,Once a year,1,Female,37
321,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,3,Every three months,0,Female,33
322,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,-1,Every three months,1,Female,46
323,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Every three months,0,Female,41
324,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,-1,Every three months,1,Male,60
325,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,2,Once a month,0,Male,42
326,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a month,0,Female,45
327,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,Every three months,0,Male,36
328,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,2,Once a month,0,Male,44
329,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,1,Once a month,0,Male,34
330,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Every three months,0,Male,22
331,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Every three months,1,Male,64
332,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,0,Male,36
333,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a month,0,Male,23
334,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-4,Every three months,1,Female,69
335,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-5,Never,1,Female,64
336,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Every three months,0,Male,53
337,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,-4,Never,1,Female,40
338,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,Every three months,1,Female,56
339,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,2,Once a week,0,Female,48
340,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,0,Female,62
341,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2,Every three months,0,Female,65
342,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,4,Once a month,0,Male,34
343,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,-5,Never,1,Female,27
344,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Every three months,0,Male,25
345,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-1,Once a year,1,Female,55
346,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,5,Once a week,0,Female,38
347,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,1,Once a month,0,Female,52
348,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,3,Once a month,0,Male,36
349,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,Once a month,1,Male,36
350,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,Once a month,0,Female,52
351,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,5,Once a week,0,Female,49
352,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,2,Once a month,0,Female,58
353,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a month,0,Female,67
354,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,1,Every three months,0,Female,56
355,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,2,Once a week,0,Female,43
356,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a week,0,Female,43
357,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1,Every three months,0,Female,23
358,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,Once a week,0,Male,29
359,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,Once a year,1,Male,32
360,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,1,Once a week,0,Female,35
361,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,2,Once a week,0,Male,46
362,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a month,0,Female,55
363,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a week,0,Female,45
364,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,2,Every three months,0,Male,39
365,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,-3,Once a year,1,Male,52
366,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a month,0,Female,53
367,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,3,Once a month,0,Male,44
368,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Once a year,0,Female,55
369,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,More than once a week,0,Female,21
370,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,1,Once a month,0,Male,48
371,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,3,Once a month,0,Female,57
372,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a week,0,Male,26
373,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,2,Once a month,0,Female,52
374,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,4,Once a week,0,Male,28
375,No,Yes,No,No,No,Yes,No,Yes,No,No,No,2,Once a month,0,Male,58
376,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,5,Once a month,0,Male,34
377,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,Every three months,1,Male,39
378,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a month,0,Male,20
379,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,0,Once a year,0,Female,61
380,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,4,Once a week,0,Male,35
381,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,1,Male,27
382,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a month,0,Female,50
383,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a month,0,Female,58
384,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,Once a month,1,Female,29
385,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a week,0,Male,23
386,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,2,Every three months,0,Male,47
387,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Every three months,0,Female,58
388,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,Once a month,0,Female,49
389,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,1,Once a month,0,Female,27
390,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,More than once a week,0,Female,20
391,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,0,Every three months,0,Male,43
392,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,0,Every three months,0,Female,62
393,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,-5,Once a year,1,Female,55
394,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-3,Once a year,1,Female,62
395,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,Once a year,1,Female,56
396,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,Never,1,Male,60
397,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a month,0,Female,42
398,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a week,0,Female,26
399,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,Once a year,1,Female,55
400,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,4,Once a week,0,Male,42
401,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a year,0,Female,67
402,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a week,0,Male,43
403,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,Once a month,0,Female,42
404,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a week,0,Female,50
405,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Once a year,1,Female,20
406,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-5,Never,1,Male,50
407,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a year,0,Male,60
408,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,Never,1,Male,21
409,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,Once a month,0,Male,33
410,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,Every three months,0,Female,68
411,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a month,0,Male,26
412,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a month,0,Female,60
413,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Every three months,0,Female,52
414,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,4,Every three months,0,Female,70
415,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-5,Once a year,1,Female,44
416,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,2,Every three months,0,Female,23
417,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,-1,Every three months,1,Female,62
418,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,2,Once a week,0,Female,59
419,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a week,0,Female,66
420,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,1,Once a month,0,Male,44
421,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a month,0,Male,25
422,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,3,Once a month,0,Male,41
423,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,4,More than once a week,0,Male,41
424,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a week,0,Male,33
425,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,1,Once a month,0,Female,45
426,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,More than once a week,0,Female,23
427,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,Once a year,1,Female,52
428,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,Once a month,0,Female,63
429,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Once a month,0,Female,48
430,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,-5,Never,1,Male,52
431,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-5,Never,1,Male,50
432,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,2,Once a month,0,Male,28
433,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1,Once a month,0,Male,24
434,No,Yes,No,Yes,No,No,No,No,Yes,No,No,0,Once a week,0,Female,45
435,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,2,Every three months,0,Female,26
436,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,1,Every three months,0,Male,19
437,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Every three months,0,Male,45
438,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,1,Every three months,0,Male,44
439,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,2,Once a month,0,Male,47
440,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,0,Male,28
441,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,Every three months,0,Female,62
442,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,-1,Once a week,1,Male,33
443,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,3,Every three months,0,Female,67
444,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,1,Once a year,0,Female,67
445,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2,Once a month,0,Male,49
446,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a week,0,Female,33
447,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,More than once a week,0,Female,51
448,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a week,0,Female,52
449,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5,More than once a week,0,Male,30
450,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Once a month,0,Female,60
451,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,Every three months,1,Female,47
452,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,2,Once a month,0,Male,44
453,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Every three months,0,Female,43
454,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,Once a month,1,Male,46
455,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,1,Once a month,0,Female,40
456,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,Once a year,0,Female,48
457,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,0,Once a month,0,Female,53
458,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,Every three months,0,Male,35
459,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,Every three months,1,Male,51
460,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,2,Once a month,0,Male,26
461,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-2,Every three months,1,Female,46
462,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,0,Female,39
463,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a year,0,Male,38
464,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,0,Female,40
465,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,5,Once a month,0,Female,36
466,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,Never,0,Female,56
467,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a month,0,Female,23
468,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,5,Once a month,0,Female,39
469,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,Every three months,1,Female,22
470,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,3,Once a month,0,Male,27
471,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,Every three months,0,Female,23
472,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Every three months,0,Female,21
473,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Every three months,0,Male,33
474,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,1,Female,24
475,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5,More than once a week,0,Female,22
476,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Every three months,1,Female,54
477,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,Every three months,1,Female,56
478,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a month,0,Male,20
479,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,4,Once a month,0,Female,41
480,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,4,Once a month,0,Male,70
481,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,Once a month,0,Female,54
482,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,3,Once a month,0,Male,23
483,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2,Once a month,0,Female,61
484,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,1,Once a week,0,Female,52
485,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,Once a week,0,Female,61
486,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,-2,Every three months,1,Female,66
487,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a month,0,Female,40
488,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Never,0,Male,26
489,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,2,Once a month,0,Male,32
490,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-2,Every three months,1,Male,60
491,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,0,Male,38
492,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Every three months,0,Male,29
493,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,-5,Never,1,Male,69
494,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,Once a year,0,Male,64
495,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,-5,Never,1,Male,40
496,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a month,0,Male,42
497,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-5,Once a month,1,Female,64
498,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,5,Once a week,0,Male,22
499,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Every three months,0,Female,57
500,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,2,Every three months,0,Female,28
501,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,0,Female,41
502,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,More than once a week,0,Male,56
503,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a month,0,Female,50
504,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-5,Never,1,Male,68
505,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,-5,Once a year,1,Male,62
506,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Every three months,0,Female,58
507,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,More than once a week,0,Male,47
508,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,3,Once a month,0,Female,35
509,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,0,Male,58
510,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,0,Female,21
511,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,Every three months,0,Female,53
512,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,0,Female,38
513,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,5,Once a month,0,Male,59
514,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,4,Once a week,0,Female,39
515,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,2,Every three months,0,Female,36
516,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,More than once a week,0,Female,26
517,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-1,Once a week,1,Male,53
518,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,0,Female,64
519,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,-3,Every three months,1,Female,56
520,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-5,Never,1,Male,65
521,No,No,No,No,Yes,No,No,No,No,No,Yes,-5,Never,1,Male,40
522,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,0,Male,68
523,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,More than once a week,0,Male,65
524,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,0,Female,52
525,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,Once a year,1,Female,37
526,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-5,Once a year,1,Male,32
527,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,5,Once a week,0,Female,51
528,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3,Every three months,0,Female,52
529,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,4,Every three months,0,Female,57
530,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Every three months,0,Female,55
531,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,Once a month,0,Female,38
532,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,Once a week,0,Female,44
533,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a year,0,Female,56
534,No,Yes,No,Yes,Yes,No,No,No,No,No,No,1,Once a year,0,Female,67
535,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,3,Once a month,0,Female,43
536,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Every three months,0,Male,39
537,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a week,0,Female,27
538,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,1,Once a year,0,Female,29
539,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,-1,Once a year,1,Male,24
540,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Every three months,1,Male,37
541,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1,Once a month,0,Female,22
542,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,-2,Never,1,Female,55
543,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,Once a year,1,Male,50
544,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,1,Once a month,0,Male,26
545,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Every three months,0,Female,55
546,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Once a month,0,Female,48
547,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,Once a week,0,Female,25
548,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,4,More than once a week,0,Male,32
549,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,1,Every three months,0,Female,28
550,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,Once a year,1,Female,52
551,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,1,Once a week,0,Male,30
552,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-2,Once a year,1,Female,52
553,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,4,Once a month,0,Female,55
